bank,ifsc,branch,centre,district,state,address,contact,imps,rtgs,city,neft,micr
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065053,BADLAPUR (EAST),KALYAN,KALYAN,MAHARASHTRA,"KULGAON GRIHNIRMAN SOCIETY, PLOT NO. 36, GANDHI CHOWK, NEAR KATDHARE HALL, KULGAON, BADLAPUR (E), DIST. THANE 421503",2693726,true,true,THANE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065054,CHEMBUR,MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO.12 TO 19, BLDG. NO. 2, TILAKNAGAR SHRAMIK CO-OP HSG SOCIETY LTD., TILAKNAGAR, CHEMBUR, MUMBAI 400089.",25262390,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065055,VIRAR,VIRAR,THANE,MAHARASHTRA,"GRND & 1ST FLOOR, MATAJI KRUPA, OPP. MAHANAGARPALIKA LIBRARY, PHOOL PADA ROAD,VIRAR (E), DIST THANE 401303",2524161,true,true,THANE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065056,SEAWOOD,MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO. 13 TO 15, GIRIRAJ CO-OP HSG SOCIETY LTD., PLOT NO.7&8, SECTOR NO.44, NRI SEAWOOD ROAD, SEAWOOD, NERUL 400706",27719879,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065057,GHODBUNDER ROAD,THANE,THANE,MAHARASHTRA,"SIDDHIVINAYAK ARCADE, KAILASH TOWER, OWALE VILLAGE, OWALA NAKA, GHODBUNDER ROAD, THANE 400605.",25971586,true,true,THANE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065058,ANTOP HILL,MUMBAI,MUMBAI,MUMBAI,"SHOP NO..34 & 35, GROUND FLOOR, BLDG NO. B-2, KALPAK ESTATE, SHAIKH MISTRY ROAD, ANTOP HILL, MUMBAI 400037",24092210,true,true,GREATER MUMBAI,true,400065058
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065059,NALLASOPARA,THANE,THANE,MAHARASHTRA,"SHOP NO. 1 & 2, GROUND FLOOR, OLIVE APARTMENT, BLDG.NO.06, SECTOR VII, NALLASOPARA, TAL VASAI, DIST THANE.",3290277,true,true,THANE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065060,DIVALE CBD,MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO 8A & 9, GROUND FLOOR, SAI SANGAM, SECTOR-15, SAKAL BHAVAN MARG, CBD BELAPUR, NAVI MUMBAI 400 614",27563509,true,true,GREATER MUMBAI,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065061,KHANDA COLONY,PANVEL,PANVEL,MAHARASHTRA,"SHOP NO.30 TO 33, GROUND FLOOR, SHREEJI SANGH, SECTOR - 7, PLOT NO. 15/16 KHANDA COLONY, PANVEL 410206",27490760,true,true,RAIGAD,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065062,KALWA,THANE,THANE,MAHARASHTRA,"MILESTONE CORPORATE PARK, DATTAWADI, OLD MUMBAI ROAD, KALWA (W) DIST. THANE 400 605",25406301,true,true,THANE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065063,DOMBIVLI (WEST),DOMBIVLI,DOMBIVLI,MAHARASHTRA,"JANKI HEIGHTS OPP. SHIV SENA SHAKA, DEENDAYAL ROAD, DOMBIVALI (WEST), DIS THANE 421202",2489860,true,true,THANE,true,
ABHYUDAYA COOPERATIVE BANK LIMITED,ABHY0065064,GOREGAON WEST,MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO.2,3,5 & 6A, VRINDAVAN CHS LTD., BUILDING NO.9, SHASTRI NAGAR ROAD NO.1, GOREGAON (W), MUMBAI 400 104.",28711793,true,true,GREATER BOMBAY,true,
